Original Text,Preprocessing Text
HD Streaming Pass,hd stream pass
I LOST MY PHONE,lose phone
How do I change my user name in the discussion board?,chang user name discuss board
Tablet Bait and Switch,tablet bait switch
Service Unavailable...,servic unavail
T-Mobile Prepaid Phones - Tax Amount Increased!,prepay phone tax amount increas
I'm getting two different trade-in values for my iPhone 7?,get differ valu iphon
We are currently having trouble with your request.,current troubl request
how do i see or listen to my voicemail online,see listen voicemail onlin
COSTCOAPPLE8 promo - where to send in trade in device?,promo send trade devic
E-mail to SMS being blocked due to suspected SPAM,sm block due suspect spam
Galaxy S7 Edge Device Unlock,galaxi edg devic unlock
"Phone stolen, how do i lock sim card?",phone steal lock sim card
We are currently having trouble with your request. Please wait a few minutes and try again.,current troubl request pleas wait minut tri
t-mobile bogo card scam,bogo card scam
We frequently can't send text messages,frequent ca send text messag
Legacy account balance wrong,legaci account balanc wrong
"""Trouble processing the payment card. Do not try again.""",troubl process payment card tri
Why is T-mobile site down?,site
Unable to pay the bill online,unabl pay bill onlin
Help with ordering a new sim card,help order new sim card
Horrible Support with a Company that Lies Strategically,horribl support compani lie strateg
[Need Help] T-Mobile App doesn_™t work properly,need help app work properli
BILLING,bill
Device Blocking Short Codes,devic block short cod
Price Difference in Website,price differ websit
Can't Upgrade Device - Website fails on Protection Plan Screen,ca upgrad devic websit fail protect plan screen
I feel T-mobile is charging more then what I should be charged.,feel charg charg
CHARGED WHEN NOT,charg
"Can't use my ""T-Mobile"" app",ca use app
How do I change what credit card I use to pay Netflix?,chang credit card use pay netflix
Unlocking T-mobile device overseas,unlock devic oversea
Smartphone Equality Program Terms Are Not Clear,smartphon equal program term clear
Non native speaker cannot turn off voice mail,non nativ speaker turn voic mail
IMS Service has stopped message,im servic stop messag
"Spam, Scam and Robo Calls T-Mobile please read",spam scam robo call pleas read
Cancel Prepaid Accout + Number Transfer,cancel prepay accout number transfer
"Can't view the bill online, can't view the bill on app",ca view bill onlin ca view bill app
Voicemails not showing up until days after they were left,voicemail show day leav
Smartphone Equality undocumented credit requirement?,smartphon equal undocu credit requir
WEA GOVERNMENT ALERTS,wea govern alert
Device replacement - store closed? Service failure,devic replac store close servic failur
Bill Statement,bill statement
Returned payment,return payment
unlock request,unlock request
How to unlock phone without T-Mobile account/number?,unlock phone without
Need dated invoice or receipt for LG V40 pre-order promotion,need date invoic receipt lg promot
Can't activate Visual Voicemail,ca activ visual voicemail
Consumer Short Codes,consum short cod
phone,phone
Post-paid to Pre-paid setting up My-Tmobile Account,set account
T-mobile Binge On using up my high speed data.,bing use high speed data
T-mobile ID and acc refill,id acc refil
Tmobile account inaccessible,tmobil account inaccess
Phone tracking using a phone number,phone track use phone number
Issues with my unlocked Samsung Galaxy S9+,issu unlock samsung galaxi
"If I preorder online, can I trade in in-stores?",preorder onlin trade
