Original Text,Preprocessing Text
"Really bad data speeds in Brooklyn, NY.",realli bad data speed brooklyn ny
Problems using Sprint phones on T-Mobile Network,problem use sprint phone network
Full 4G LTE but 0.XX data speeds and bad reception (battery drain),full lte data speed bad recept batteri drain
MMS messages come in as number/TYPE=PLMN@tmomail.net,mm messag come
Why is my tethering speed so slow?,tether speed slow
Linelink randomly stops working,linelink randomli stop work
"calls going directly to voicemail, inconsistent notifications",call go directli voicemail inconsist notif
Why don't I receive messages on my LG V20?,receiv messag lg
"Anyone else having coverage issues in Rosemont, IL?",anyon els coverag issu rosemont il
"Coverage - Grand Rapids/Wyoming, MI",coverag grand mi
Disable all roaming?,disabl roam
One Plus 6 question?,plu question
Retrieve Lost Texts from Spotty Coverage,retriev lose text spotti coverag
Web voicemail?,web voicemail
Wifi calling will not work,wifi call work
Unable to view security cameras via cellular...,unabl view secur camera via cellular
Voicemail slow to appear- iPhone 8,voicemail slow iphon
Iowa Network Coverage,iowa network coverag
No signal inside the building,signal insid build
No data while traveling internationally,data travel intern
Let's talk about APNs again,let talk apn
Lousy service in oklahoma,lousi servic oklahoma
T-Mobile one in France,franc
Government Emergency Alerts with Wi-Fi Calling enabled,govern emerg alert call enabl
Coverage in Northern Indiana,coverag northern indiana
"If someone calls me outside the US, will they know I'm outside the US?",someon call outsid us know outsid us
consistent dropped calls and network issues,consist drop call network issu
Poor reception iPhone X,poor recept iphon x
Slowness spikes,slow spike
Simple choice 22g hotspot vs one plus international,simpl choic hotspot vs plu intern
What's wrong with my Call Log?,wrong call log
LTE Sim Cards,lte sim card
Calling number of number redirects to my number.,call number number redirect number
Poor Data Speed with Good LTE Reception,poor data speed good lte recept
Sporadically not receiving SMS/MMS,sporad receiv
Text messages are delayed sending and receiving,text messag delay send receiv
LOST PHONE,lose phone
Visual Voicemail not appearing/syncing on IPhone,visual voicemail iphon
T-Mobile ONE Plus not working for my new account,plu work new account
LTE not working,lte work
"Voicemail doesn't show up until I restart phone, then a bunch come in.",voicemail show restart phone bunch come
Wi-Fi impacts ability to receive calls.,impact abil receiv call
Can't make phone call after renewed my pre-paid plan.,ca make phone call renew plan
no service or coverage Phila PA,servic coverag phila pa
"No service/signal - No, I will not factory reset my phone for a maybe this will f***** work",factori reset phone mayb work
Cell coverage Sanilac County Mi,cell coverag sanilac counti mi
Plex streaming issues:,plex stream issu
network error,network error
MMS Not Working with Wi-Fi enabled.,mm work enabl
Oneplus 3T without service.,oneplu without servic
Wifi calling on OnePlus 6 not working,wifi call oneplu work
iPhone 6s no Cellular connection past two days,iphon cellular connect past day
i have no data. no bars. nothing.,data bar noth
LTE data MUCH slower than T-Mobile's test data,lte data much slower test data
Band 71,band
Terrible reception,terribl recept
Missed phone interview because phone call wasn't shown or logged as missed call. How do I know when people are calling me?,miss phone interview phone call show log miss call know peopl call
US Cellular no longer a roaming partner for T-Mobile in Maine?,us cellular longer roam partner main
Rural booster issues,rural booster issu
Service and Connectivity Issues on new iPhone XS Max,servic connect issu new iphon xs max
Pay as You Go charging me even for receiving calls.,pay go charg even receiv call
Poor Data Service at Logan Airport.,poor data servic logan airport
North Georgia,north georgia
RCS expansion,rc expans
Why do I have terrible to no service all of a sudden ?,terribl servic sudden
Fixed REG90 cannot connect wifi calling,fix connect wifi call
Default to WiFi Instead of Cellular Connection (Not Working),default wifi instead cellular connect work
Can't make/receive calls after porting,ca call port
Block phones from calling your children to be safe. But on T-mobile,block phone call children safe
Texting issues when connected to WiFi,text issu connect wifi
3-4 bars but absolutely 0 internet,bar absolut 0 internet
No voice coverage despite coverage map,voic coverag despit coverag map
You are not allowed to make calls at this time,allow make call time
Slow data,slow data
"Network coverage Mount Gilead, NC 27306",network coverag mount gilead nc
"Can't Connect to USA-Commnet in Blue Mesa Lake in Colorado, Nor in Salida",ca connect blue mesa lake colorado salida
Since 10/01/2018 have got a poor internet connection,sinc get poor internet connect
I paid for LTE speeds but am lucky to get 2g speeds. Why?,pay lte speed lucki get speed
"Cell coverage - Redding, CA",cell coverag red ca
Will this work on our Network,work network
Cant view home cameras with T-Mobile iPhone but can with AT&T service.,cant view home camera iphon servic
getting added to random text groups,get add random text group
"Really, how fast is 3G tethering?",realli fast tether
Add hospot access for new tablet?,add hospot access new tablet
Band 71 coming to Phoenix?,band come phoenix
Is this the kind of service I can expect If I stay with tmo?,kind servic expect stay tmo
Forward calls,forward call
"Samsung Galaxy S6: missed calls, straight to voicemail. Data works",samsung galaxi miss call straight voicemail data work
Phone not receiving calls/texts,phone receiv
calls go directly to voice mail,call go directli voic mail
"Excessive data usage, unknown origin",excess data usag unknown origin
Signal problems,signal problem
"Why is WiFi calling now ""forbidden""?",wifi call forbid
OUTAGE,outag
No service at my desk.,servic desk
Unlocked Galaxy S6 text & data work but no phone calls don't.,unlock galaxi text data work phone call
Current Outage?,current outag
iPhone XS low signal,iphon xs low signal
"spotty coverage and slow data - Billings, MT area",spotti coverag slow data bill mt area
Why and how do I receive zero second voicemails?,receiv second voicemail
Outage??,outag
Transfer from Sprint can't make or receive calls....but texting works.,transfer sprint ca make receiv call text work
I am really sorry that I switched,realli sorri switch
"Constant ""No voice/data service"" since update while on Wi-Fi.",constant servic sinc updat
Roaming in central Wisconsin. Any planned construction for towers there?,roam central wisconsin plan construct tower
"Recently, Ive been getting only 2 bars",recent ive get bar
Booster unit drops the signal during rush hour,booster unit drop signal rush hour
LTE-A on non-T-mobile note 9??,note
Does T-Mobile plan to support DNSSEC?,plan support dnssec
Wifi Calling does not work with my router,wifi call work router
Tmobile needs to step up for India travelers and fix issues.....,tmobil need step india travel fix issu
"Cellspot incompatible with Spectrum (Charter, Brighthouse, TW)",cellspot incompat spectrum charter brighthous tw
New 4g lte cellspot setup troubles,new lte cellspot setup troubl
Will my phone work on my 4G/LTE plan?,phone work plan
WiFi Calling Not Working,wifi call work
Just switched to T-Mobile and can't dial out or receive calls.,switch ca dial receiv call
SIP Protocol Transmissions on port numbers 5060 or 5061,sip protocol transmiss port number
Travelling to Ireland,travel ireland
4G LTE signal booster or CellSpot,lte signal booster cellspot
what router settings are needed for tmobile wifi to work?,router set need tmobil wifi work
Better service for Military members living near military bases,better servic militari member live near militari base
Rural Colorado Coverage,rural colorado coverag
iPhone 7 plus experiencing awful speeds and hotspot issues,iphon plu experi aw speed hotspot issu
repeat VM notification when we're in range for non-emergency calls,repeat vm notif rang call
Unlocked Verizon phone (Note 4) unable to send/receive MMS,unlock verizon phone note unabl mm
Need Booster Duo+ - tech support doesn't have a clue,need booster tech support clue
"Radford, VA - Very little to no Signal",radford va littl signal
Pymatuning State Park,pymatun state park
